품목일련번호,품목명,업소일련번호,업소명,성상,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤,분할선앞,분할선뒤,크기장축,크기단축,크기두께,이미지생성일자(약학정보원),분류번호,분류명,전문일반구분,품목허가일자,제형코드명,표기내용앞,표기내용뒤,표기이미지앞,표기이미지뒤,표기코드앞,표기코드뒤,변경일자,사업자번호,품목영문명,보험코드,표준코드
199902768,파비스세파드록실캅셀(수출용),19870008,(주)경보제약,백색또는엷은황백색의분말이충진된상/적색|하/백색의경질캅셀,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pc8NyfFFcr,PKPK,-,장방형,빨강,하양,-,-,23.31,7.11,7.5,20050316,6180,주로그람양성|음성균에작용하는것,전문의약품,19990817,경질캡슐제|산제,-,-,-,-,-,-,-,3128104567,CefadroxilCap.Pharvis(forexport),-,8806218001103|8806650020304|8806836015100|8806836015117|8806836015124
199401661,파비스오플록사신정,19600014,(주)한국파비스제약,흰색의원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6MI0,PKI,-,원형,하양,-,-,-,8.1,8.1,4,20080718,6290,기타의화학요법제,전문의약품,19941015,필름코팅정,-,-,-,-,-,-,20260323,2838501407,PharvisOfloxacinTablet,621801830,8806218018309|8806218018316|8806218018323|8806836015605|8806836015612|8806836015629|8806836015636|8806836015643
199402367,코러스오플록사신정200mg(수출명:TOFLOXINTAB.|KroflinTab.|KorucinTab.|SuperoxTab.),19900018,한국코러스(주),백색의원형필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pvn3im1ZjB,Korus,-,원형,하양,-,-,-,9.5,9.5,4.4,20050330,6290,기타의화학요법제,전문의약품,19940628,필름코팅정,-,-,-,-,-,-,20260323,2058140116,TOFLOXINTAB.,647201270,8806472012709|8806472012716|8806472012723|8806472012730|8806472012747|8806472012754|8806472012761|8806472012778|8806472012785
199402371,코러스아시클로버정,19900018,한국코러스(주),연청색의원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427635762200033,Korus,-,원형,파랑,-,-,-,9.5,9.5,3.8,20050428,6290,기타의화학요법제,전문의약품,19940630,나정,-,-,-,-,-,-,20260428,2058140116,KorusAcyclovirTab.,647201000,8806472010002|8806472010019|8806472010026|8806472010033
199402372,네가펜캡슐(수출용),19900018,한국코러스(주),백색의가루가충진된상|하부백색의경질캡슐제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151732689962500037,KorusKorus,-,장방형,빨강,빨강,-,-,21.4,7.33,7.64,20101202,1140,해열.진통.소염제,일반의약품,19940804,경질캡슐제|산제,-,-,-,-,-,-,20180410,2058140116,NegaphenCap.(forexport),-,8806472000102|8806472000119
199502820,코러스리팜피신정600밀리그람(수출용),19900018,한국코러스(주),주황색의장방형제피정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427635762200039,Korus,-,장방형,주황,-,-,-,18,8,6.3,20051020,6130,주로항산성균에작용하는것,전문의약품,19951020,필름코팅정,-,-,-,-,-,-,20260323,2058140116,KorusRifampicinTab.600mg,-,8806472007507|8806472007514|8806472007521
199603130,씨씨콤연질캡슐(수출명:BiosliverSoftCap.)(수출용),19900018,한국코러스(주),수출용1:유백색의내용물을함유한상부주황색|하부황녹색의연질캡슐제수출용2:유백색의내용물이든진한갈색의장방형연질캡슐제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427635762200045,씨씨콤,-,타원형,주황,연두,-,-,24,8.22,8.22,20120503,3990,따로분류되지않는대사성의약품,일반의약품,19960312,연질캡슐제|현탁상,-,-,-,-,-,-,20220104,2058140116,BiosilverSoftCapsule,-,8806472003806|8806472003813|8806472003820|8806472003837|8806472003844
199703391,코러스독시사이클린캡슐(독시사이클린하이클레이트)(수출용),19900018,한국코러스(주),황색분말을함유하는상부하늘색|하부백색의경질캡슐제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427635762200054,H.KrsH.Krs,-,장방형,회색,하양,-,-,19.1,6.63,6.91,20070427,6150,주로그람양성|음성균|리케치아|비루스에작용하는것,전문의약품,19970114,경질캡슐제|산제,-,-,-,-,-,-,20251211,2058140116,KorusDoxycyclineCap.,-,8806472006807|8806472006814|8806472006821|8806472006838|8806472006845|8806472006852
199402355,코러스에토돌락캡슐(수출명:KORULACCap.)(수출용),19900018,한국코러스(주),백색내지유백색의분말이충진된상|하부청색의경질캅셀제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pvn3im1Zxs,H.KrsH.Krs,-,장방형,파랑,파랑,-,-,19.1,6.63,6.91,20050705,1140,해열.진통.소염제,전문의약품,19940930,경질캡슐제|산제,-,-,-,-,-,-,20191127,2058140116,KORULACCap.,-,8806472010507|8806472010514|8806472010521|8806472010538|8806472010545|8806472010552
199402360,코러스케토코나졸정(수출용),19900018,한국코러스(주),백색의원형정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427635762200062,HKK,-,원형,하양,-,-,-,9,9,4.4,20101025,6410,항원충제,전문의약품,19941001,나정,-,-,-,-,-,-,20191127,2058140116,KorusKetoconazoleTab.,-,8806472013805|8806472013812|8806472013829|8806472013836|8806472013843
